1,2,1242.92,487.65,146.48,59.32,0.84,-1,-1,-1
1,1,1188.68,521.67,303.82,162.15,0.90,-1,-1,-1
2,2,1232.72,485.74,143.78,58.48,0.86,-1,-1,-1
2,1,1192.31,527.63,304.00,158.75,0.90,-1,-1,-1
3,2,1223.16,483.79,141.83,59.05,0.85,-1,-1,-1
3,1,1195.23,529.39,306.44,158.30,0.90,-1,-1,-1
4,2,1214.22,481.12,138.34,58.01,0.84,-1,-1,-1
4,1,1200.05,528.65,310.56,159.66,0.91,-1,-1,-1
5,2,1206.36,479.22,132.63,55.21,0.86,-1,-1,-1
5,1,1201.70,529.64,317.82,164.11,0.92,-1,-1,-1
6,2,1197.86,479.15,129.22,53.31,0.86,-1,-1,-1
6,1,1203.32,529.41,323.06,167.14,0.92,-1,-1,-1
7,2,1189.97,479.15,124.56,50.98,0.88,-1,-1,-1
7,1,1207.13,529.67,327.73,169.17,0.91,-1,-1,-1
8,2,1181.37,477.45,121.88,50.33,0.87,-1,-1,-1
8,1,1209.08,528.74,333.18,172.23,0.92,-1,-1,-1
9,2,1173.72,476.93,118.15,48.51,0.88,-1,-1,-1
9,1,1212.89,528.38,336.83,173.95,0.91,-1,-1,-1
10,2,1166.31,476.12,114.64,46.70,0.88,-1,-1,-1
10,1,1218.13,528.74,340.78,176.91,0.92,-1,-1,-1
11,2,1158.64,475.45,111.89,44.98,0.87,-1,-1,-1
11,1,1220.87,529.88,345.15,179.53,0.91,-1,-1,-1
12,2,1151.59,474.79,108.80,43.69,0.87,-1,-1,-1
12,1,1224.14,530.35,348.85,182.05,0.91,-1,-1,-1
13,2,1144.26,473.67,105.79,42.61,0.86,-1,-1,-1
13,1,1230.56,531.63,350.43,184.16,0.91,-1,-1,-1
14,2,1136.45,471.80,103.71,42.04,0.86,-1,-1,-1
14,1,1234.04,532.02,353.19,185.54,0.92,-1,-1,-1
15,2,1130.28,471.02,100.81,41.47,0.86,-1,-1,-1
15,1,1235.85,532.59,357.41,188.62,0.91,-1,-1,-1
16,2,1123.17,470.37,98.69,40.80,0.86,-1,-1,-1
16,1,1239.21,533.35,361.41,192.66,0.91,-1,-1,-1
17,2,1116.46,470.11,96.68,40.30,0.87,-1,-1,-1
17,1,1246.33,533.60,362.75,194.95,0.90,-1,-1,-1
18,2,1109.79,468.74,94.54,39.52,0.87,-1,-1,-1
18,1,1248.50,534.46,366.45,196.35,0.90,-1,-1,-1
19,2,1103.36,467.54,92.66,39.14,0.87,-1,-1,-1
19,1,1252.13,535.86,369.09,196.98,0.90,-1,-1,-1
20,2,1097.20,466.47,90.38,38.47,0.87,-1,-1,-1
20,1,1256.77,535.32,371.30,198.75,0.90,-1,-1,-1
21,2,1091.10,465.92,88.53,37.83,0.87,-1,-1,-1
21,1,1259.57,535.28,374.43,200.10,0.87,-1,-1,-1
22,2,1085.66,464.61,86.35,37.20,0.86,-1,-1,-1
22,1,1264.09,536.48,376.05,200.45,0.90,-1,-1,-1
23,2,1080.08,463.74,84.58,36.37,0.84,-1,-1,-1
23,1,1265.22,536.54,380.47,201.98,0.89,-1,-1,-1
24,2,1074.06,462.91,83.27,35.72,0.85,-1,-1,-1
24,1,1268.31,537.01,383.19,203.03,0.89,-1,-1,-1
25,2,1069.01,462.18,81.35,35.08,0.84,-1,-1,-1
25,1,1270.45,538.37,387.46,203.49,0.91,-1,-1,-1
26,2,1063.73,461.37,79.47,34.80,0.82,-1,-1,-1
26,1,1275.65,539.64,389.47,205.52,0.92,-1,-1,-1
27,2,1058.88,460.81,77.98,34.18,0.83,-1,-1,-1
27,1,1279.87,540.61,390.60,207.44,0.91,-1,-1,-1
28,2,1052.74,460.28,76.96,33.61,0.84,-1,-1,-1
28,1,1281.90,541.10,393.08,209.36,0.91,-1,-1,-1
29,2,1047.98,459.70,75.39,33.00,0.85,-1,-1,-1
29,1,1280.52,540.80,403.65,211.81,0.90,-1,-1,-1
30,2,1043.53,458.77,73.72,32.63,0.85,-1,-1,-1
30,1,1287.24,540.88,406.77,213.24,0.90,-1,-1,-1
31,3,1821.94,576.62,92.21,109.28,0.78,-1,-1,-1
31,2,1037.94,458.19,72.74,32.24,0.86,-1,-1,-1
31,1,1292.83,542.03,409.56,214.04,0.91,-1,-1,-1
32,3,1800.00,565.81,111.85,112.56,0.82,-1,-1,-1
32,2,1034.07,458.09,71.34,31.55,0.84,-1,-1,-1
32,1,1296.79,541.95,412.12,215.23,0.91,-1,-1,-1
33,3,1777.37,563.31,132.50,116.05,0.84,-1,-1,-1
33,2,1029.67,457.39,70.23,31.13,0.83,-1,-1,-1
33,1,1298.67,542.08,413.52,216.95,0.92,-1,-1,-1
34,3,1755.24,559.11,153.24,118.83,0.88,-1,-1,-1
34,2,1025.20,456.41,68.72,31.03,0.83,-1,-1,-1
34,1,1300.21,542.06,414.77,218.41,0.92,-1,-1,-1
35,3,1733.71,555.34,174.04,119.67,0.89,-1,-1,-1
